"開標日期","證券名稱","證券代號","發行市場","發行性質","競拍方式","投標開始日","投標結束日","競拍數量(張)","最低投標價格(元)","最低每標單投標數量(張)","最高投(得)標數量(張)","保證金成數(%)","每一投標單投標處理費(元)","撥券日期(上市、上櫃日期)","主辦券商","得標總金額(元)","得標手續費率(%)","總合格件","合格投標數量(張)","最低得標價格(元)","最高得標價格(元)","得標加權平均價格(元)","實際承銷價格(元)","取消競價拍賣(流標或取消)","source_file","承銷價格(元)"
"2025-07-29","星亞","7753","櫃檯買賣","初上櫃","美國標","2025/07/23","2025/07/25","1,972","38.79","1","256","50","400","2025/08/07","凱基","0","5.0","0","0","0","0","0","0.0","","114.csv",""
"2025-07-28","凌航","3135","集中交易市場","初上市","美國標","2025/07/22","2025/07/24","6,202","22.95","1","825","50","400","2025/08/06","統一","0","5.0","0","0","0","0","0","0.0","","114.csv",""
"2025-07-28","正德八","26418","櫃檯買賣","無擔保轉換公司債","美國標","2025/07/22","2025/07/24","7,020","100.5","1","702","50","400","2025/08/06","群益金鼎","0","0.5","0","0","0","0","0","0.0","","114.csv",""
"2025-07-28","大量二","31672","櫃檯買賣","無擔保轉換公司債","美國標","2025/07/22","2025/07/24","4,661","100","1","466","50","400","2025/08/06","福邦","0","0.5","0","0","0","0","0","0.0","","114.csv",""
"2025-07-25","弘塑二","31312","櫃檯買賣","無擔保轉換公司債","美國標","2025/07/21","2025/07/23","8,500","103","1","850","50","400","2025/08/05","凱基","0","0.5","0","0","0","0","0","0.0","","114.csv",""
"2025-07-24","進典一","68431","櫃檯買賣","無擔保轉換公司債","美國標","2025/07/18","2025/07/22","2,700","101","1","270","50","400","2025/08/04","永豐金","0","0.5","0","0","0","0","0","0.0","","114.csv",""
"2025-07-24","大井泵浦二","69822","櫃檯買賣","無擔保轉換公司債","美國標","2025/07/18","2025/07/22","1,709","100","1","170","50","400","2025/08/04","永豐金","0","0.5","0","0","0","0","0","0.0","","114.csv",""
"2025-07-23","福貞三KY","84113","櫃檯買賣","有擔保轉換公司債","美國標","2025/07/17","2025/07/21","10,200","100","1","1,020","50","400","2025/08/01","台新","0","0.5","0","0","0","0","0","0.0","","114.csv",""
"2025-07-18","微程式","7721","集中交易市場","初上市","美國標","2025/07/14","2025/07/16","3,613","43.8","1","461","50","400","2025/07/29","富邦","251,405,230","5.0","1,909","20,702","67","90","69.58","53.0","","114.csv",""
"2025-07-18","碩網","7547","櫃檯買賣","初上櫃","美國標","2025/07/14","2025/07/16","2,624","50","1","327","50","400","2025/07/29","永豐金","250,628,520","5.0","2,602","19,282","93","104.35","95.51","60.0","","114.csv",""
"2025-07-17","大樹三","64693","櫃檯買賣","無擔保轉換公司債","美國標","2025/07/11","2025/07/15","8,650","100","1","865","50","400","2025/07/28","國泰","884,000,790","0.5","462","23,446","101.51","109","102.2","102.2","","114.csv",""
"2025-07-17","竣邦一KY","44421","櫃檯買賣","無擔保轉換公司債","美國標","2025/07/11","2025/07/15","1,275","100","1","127","50","400","2025/07/28","台新","127,965,450","0.5","64","1,445","100","103.1","100.37","100.37","","114.csv",""
"2025-07-02","昕奇雲端","7747","櫃檯買賣","初上櫃","美國標","2025/06/26","2025/06/30","2,584","82.76","1","333","50","400","2025/07/11","凱基","354,608,550","5.0","3,252","22,156","134.01","150","137.23","96.0","","114.csv",""
"2025-06-19","華建四","25304","櫃檯買賣","無擔保轉換公司債","美國標","2025/06/13","2025/06/17","7,180","100","1","718","50","400","2025/06/30","凱基","720,685,010","0.5","174","9,585","100","110","100.37","100.37","","114.csv",""
